trial,roc_auc_mean,roc_auc_std,value,contamination,support_fraction
0,0.7304459092434322,0.003903169835630518,0.7265427394078017,0.0011597060903190137,0.7743559814842377
1,0.7121390938289496,0.010567628059490809,0.7015714657694587,0.0019854119893419537,0.5630517441655618
2,0.7246666779579612,0.020392937373288764,0.7042737405846725,0.0022638636367094483,0.5313459488068707
3,0.7406414775024267,0.031136677668488263,0.7095047998339384,0.0031827735588656992,0.33068601532170006
4,0.7125510968632623,0.010775390148168404,0.7017757067150939,0.0025777596869054134,0.5619820574285038
5,0.7293290626999267,0.020325161884868204,0.7090039008150585,0.002615647292696027,0.4544060373044625
6,0.7256534307157391,0.022753401295799145,0.7029000294199399,0.003110838074019962,0.3695469082380135
7,0.7462043137531887,0.03221472498256409,0.7139895887706247,0.0025941516852528504,0.3444557205837148
8,0.7457209190213103,0.03274628551431329,0.7129746335069971,0.0031937741227213838,0.34527413308549115
9,0.7243428105562144,0.021043108198846406,0.703299702357368,0.002624838272953214,0.540555626416394
10,0.7338779892407529,0.039854251715152895,0.6940237375256,0.0036455713939074386,0.2541041606225971
11,0.7221141339163611,0.019440697617168393,0.7026734362991928,0.003103811109739361,0.5155858414787103
12,0.7306354093338621,0.02058568695047209,0.7100497223833899,0.002748113980512615,0.43482329562995936
13,0.7345987696481782,0.029026406310660443,0.7055723633375177,0.0034355618196809873,0.3602222307660682
14,0.7247605800887116,0.02087262257072415,0.7038879575179874,0.002422834694148824,0.48899271345625284
15,0.7228254423900109,0.04473418086646916,0.6780912615235417,0.003711079079935349,0.25941872241511915
16,0.7250751396928038,0.026379591401729782,0.698695548291074,0.0027959135581420817,0.42655385068118445
17,0.7289588582604912,0.024870119029376456,0.7040887392311148,0.004057125111014728,0.3663220406114023
18,0.7218267641133668,0.047711519381058505,0.6741152447323082,0.0035515830483438186,0.18370713830767949
19,0.7145358715719976,0.05521548711813199,0.6593203844538656,0.0033643922668667135,0.2128651268470288
20,0.7294187897207708,0.025226194749875766,0.704192594970895,0.003404242170540072,0.36592722725366367
21,0.7450226775839176,0.042984845830700405,0.7020378317532172,0.003184364214349676,0.2716964783710819
22,0.7229143358467439,0.019442805326330973,0.7034715305204129,0.003965706180544204,0.4694648645996998
23,0.7377282887579127,0.03433722799130141,0.7033910607666113,0.004208582598770181,0.3396331802428766
24,0.726375940703078,0.02610828107139425,0.7002676596316837,0.00357248108051565,0.4306351669138033
25,0.722788667748671,0.019378253561052133,0.7034104141876188,0.0030774281512092037,0.4649456781516921
26,0.7190010476218747,0.034338008230089055,0.6846630393917856,0.002669212589203092,0.29215195949678685
27,0.727501577318077,0.027952615557130613,0.6995489617609464,0.0020754980448931585,0.41133274210139315
28,0.7300487003429639,0.01961329838981618,0.7104354019531477,0.0036689834098336768,0.44473774865827287
29,0.7094303822331758,0.006041698153447506,0.7033886840797283,0.0028581726368777484,0.5847488563593509
30,0.7221639304869679,0.01935260599575966,0.7028113244912083,0.0029145806682750837,0.4711010117528549
31,0.725562427452805,0.023812681532829293,0.7017497459199756,0.0035333751077197143,0.5059361756560223
32,0.7406190715498631,0.030072045633231344,0.7105470259166318,0.003972608839903207,0.31605662695400494
33,0.7253840144925418,0.018710650588668182,0.7066733639038736,0.0025585968739045683,0.4831853655296453
34,0.7227604277576921,0.021248070962711692,0.7015123567949805,0.004303379525104389,0.5017393946082696
35,0.7279482795691041,0.025628370698646288,0.7023199088704578,0.0033124527120292125,0.40255145185678165
36,0.711089071375165,0.012365878392002098,0.6987231929831629,0.0030665754659482685,0.5555184313751738
37,0.7232672140301247,0.044620530086546796,0.678646683943578,0.003224948125611005,0.2055170390034254
38,0.7157856089634824,0.05930755642087516,0.6564780525426073,0.0035523567982792804,0.2104014856864364
39,0.7218808538190584,0.027930403668087182,0.6939504501509712,0.0027667459400583776,0.3804872227390421
40,0.7348257329255812,0.038848190898341996,0.6959775420272392,0.003319165542971739,0.317513617781236
41,0.7277686182816412,0.026018797609671917,0.7017498206719692,0.0033148684114348765,0.41404020076090575
42,0.7378816513649984,0.03398509710010157,0.7038965542648968,0.0036919443407484077,0.3385331110755102
43,0.7363536437625293,0.03428084433832381,0.7020727994242055,0.0032746562447237082,0.309059408655923
44,0.7301188275980021,0.01980258980527647,0.7103162377927256,0.002986016827449579,0.4445433387568273
45,0.7250485476403978,0.026347755378840192,0.6987007922615577,0.0037082221001280605,0.42608346325863755
46,0.7300247644461075,0.02074184910977599,0.7092829153363316,0.0038653184082300773,0.438025801268223
47,0.7286250279102594,0.01874968826699918,0.7098753396432602,0.0032877305617994416,0.4607335181429152
48,0.7255115585591339,0.023115975009743443,0.7023955835493904,0.0037666077549109813,0.36936946764157164
49,0.7331254275043723,0.030143935725418843,0.7029814917789534,0.0032308797492620685,0.376590099692076
