trial,roc_auc_mean,roc_auc_std,value,n_estimators,contamination,max_samples,max_features
0,0.7525619273126294,0.01077645906392756,0.7417854682487018,35,0.002891359940488715,0.5099698431806241,0.6380016994109289
1,0.769330245696452,0.010352652566655763,0.7589775931297963,151,0.003207318904429819,0.680394945309378,0.6796047960990186
2,0.7683257045008419,0.011817692300947463,0.7565080121998945,100,0.0019042331014295453,0.6355782883560697,0.5534838360513823
3,0.7704696802406682,0.007823853861813949,0.7626458263788543,122,0.0018207591125383128,0.5920258953325965,0.885591986442618
4,0.7713394636591346,0.014212850963789726,0.7571266126953449,166,0.002579943817381842,0.7152121114416496,0.673687101381199
5,0.7753790173557245,0.011575556867749717,0.7638034604879748,147,0.0033296733762109964,0.7719481843658769,0.6110149876744453
6,0.7650701973114,0.013738101921793991,0.751332095389606,98,0.002888349566909351,0.5529833637992241,0.4661529943330851
7,0.7748986390830656,0.00795246885003312,0.7669461702330325,242,0.0018655288572775738,0.532541667583621,0.48051279667458535
8,0.7678697780612879,0.01077711816075087,0.757092659900537,145,0.002798266122572243,0.6919854876298688,0.7747989633320033
9,0.7729194273715577,0.010508245602311271,0.7624111817692465,209,0.0036179823166426106,0.7306256494320129,0.6530736239587561
10,0.7622913327510994,0.010735124158175253,0.7515562085929242,120,0.002128888166867411,0.4972689477805263,0.688878324198271
11,0.7697778304243325,0.00846730368849402,0.7613105267358384,129,0.004604054151810489,0.6543864990193843,0.6082640667681589
12,0.772852320079863,0.012401383635889374,0.7604509364439737,205,0.0026297700644091443,0.773049000881957,0.6268049678544698
13,0.7635676431316808,0.013873757822156241,0.7496938853095245,238,0.0028137575891980775,0.5394408685457872,0.5910552918889453
14,0.7714853471296482,0.008185914287232563,0.7632994328424156,211,0.0021665864256144663,0.8566593110850105,0.7037294632441082
15,0.7772862574886841,0.012061899333195946,0.7652243581554882,154,0.0013017369735124453,0.6242188586912618,0.5737124816718198
16,0.7711788501065209,0.012750600663464558,0.7584282494430563,140,0.004165887175996897,0.7519853279932309,0.726887535914656
17,0.7693868606381012,0.009762658994210964,0.7596242016438903,171,0.0021056882938370763,0.8768570293387521,0.5967924096912085
18,0.7736470569823232,0.01144647725857038,0.7622005797237528,233,0.0027083531999567965,0.7843996675339096,0.6271614497537088
19,0.7735517483331582,0.013505958234573177,0.7600457900985851,134,0.0025814670168724037,0.45312018535404597,0.5696764983721263
