trial,roc_auc_mean,roc_auc_std,value,contamination
0,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.006846920704904756
1,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.00946355837582474
2,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.042972638445232005
3,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.011087332296420619
4,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.008724653048750574
5,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.013821777504149825
6,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.041479155506895835
7,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03414345778747174
8,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.01473923403989129
9,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03094563920292811
10,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03924171880643135
11,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03813586250007275
12,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03680806314737442
13,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.02517520360522015
14,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.012945822855721326
15,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.013057870928821708
16,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.04520811072432781
17,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.0005334077721074575
18,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.033833141261712815
19,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.04592547599136496
20,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03333751848668233
21,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.04733205588088713
22,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.039293878627070226
23,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.04244582046660867
24,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.04245909199929164
25,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.04191080822866279
26,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.014887050668843247
27,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.02224375383457282
28,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03363858519006033
29,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.00567247147006986
30,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.0009130181192320121
31,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.010063779186010199
32,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.04419799467724661
33,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.0006148284917730993
34,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.0144634253087872
35,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.010838926826831427
36,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03467953714621497
37,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.007839234206807167
38,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.006301606653038325
39,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.03711448712899846
40,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.0019726908248627654
41,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.004952933789209989
42,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.047263536532271395
43,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.013492506013777869
44,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.0409112208145894
45,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.025667242976051375
46,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.011496261775952442
47,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.043329214731479736
48,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.027506526036742043
49,0.6416368202784035,0.009076697289446569,0.6325601229889569,0.025451883521980797
